arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=0.01,2,1750,2.246414e-04,1.705861e-05,1.749972e-02,3.258556e-03,8.003562e-02,1.000000e-02,1.000000e-02,1.064354e-03,1.814544e-01,1.546149e-01
sym_w=0.01,2,2000,1.862860e-04,1.579117e-05,1.476784e-02,2.281646e-03,7.163966e-02,1.000000e-02,1.000000e-02,9.434721e-04,2.116562e-01,1.884401e-01
sym_w=0.01,2,2250,1.538654e-04,1.448694e-05,1.234547e-02,1.592371e-03,6.409146e-02,1.000000e-02,1.000000e-02,7.010083e-04,2.492683e-01,2.314514e-01
sym_w=0.01,2,2500,1.370831e-04,1.334376e-05,1.093483e-02,1.439107e-03,5.972134e-02,1.000000e-02,1.000000e-02,7.421366e-04,2.779050e-01,2.661550e-01
sym_w=0.01,2,2750,1.248982e-04,1.268681e-05,9.840375e-03,1.380769e-03,5.651843e-02,1.000000e-02,1.000000e-02,7.629946e-04,3.004160e-01,2.935102e-01
sym_w=0.01,2,3000,1.172883e-04,1.212196e-05,9.052727e-03,1.463902e-03,5.422763e-02,1.000000e-02,1.000000e-02,6.393886e-04,3.262480e-01,3.212486e-01
sym_w=0.1,0,0,1.424590e-01,8.854827e-02,5.196859e-01,1.942101e-02,7.508552e-01,1.000000e-01,1.000000e-01,2.125204e+00,4.032662e+00,6.365021e-01
sym_w=0.1,0,250,4.666574e-03,5.334933e-04,3.157185e-02,9.758958e-03,1.164624e-01,1.000000e-01,1.000000e-01,8.881025e-03,2.280493e-01,3.090780e-01
sym_w=0.1,0,500,1.134422e-03,1.906883e-04,8.186129e-03,1.251211e-03,5.079052e-02,1.000000e-01,1.000000e-01,7.008028e-02,3.712888e-01,2.825263e-01
sym_w=0.1,0,750,7.458146e-04,9.416578e-05,5.510652e-03,1.005836e-03,4.297107e-02,1.000000e-01,1.000000e-01,1.755791e-02,3.669825e-01,3.521882e-01
sym_w=0.1,0,1000,5.940430e-04,8.167425e-05,4.435968e-03,6.877193e-04,3.797244e-02,1.000000e-01,1.000000e-01,6.521158e-03,3.220069e-01,3.256311e-01
sym_w=0.1,0,1250,5.446042e-04,9.155458e-05,3.885751e-03,6.447452e-04,3.558034e-02,1.000000e-01,1.000000e-01,2.737525e-02,2.018903e-01,3.504651e-01
sym_w=0.1,0,1500,4.658499e-04,8.190353e-05,3.450405e-03,3.890580e-04,3.171941e-02,1.000000e-01,1.000000e-01,1.712976e-02,2.282531e-01,2.776397e-01
sym_w=0.1,0,1750,3.984365e-04,6.574654e-05,3.033115e-03,2.937839e-04,2.895964e-02,1.000000e-01,1.000000e-01,3.853725e-03,2.395139e-01,2.460176e-01
sym_w=0.1,0,2000,3.563635e-04,5.890475e-05,2.740742e-03,2.338457e-04,2.689133e-02,1.000000e-01,1.000000e-01,3.839135e-03,2.219610e-01,2.218608e-01
sym_w=0.1,0,2250,5.539343e-04,1.262833e-04,4.091140e-03,1.853701e-04,4.644405e-02,1.000000e-01,1.000000e-01,5.748262e-02,6.233319e-01,1.074965e-01
sym_w=0.1,0,2500,2.916411e-04,4.562964e-05,2.283560e-03,1.765543e-04,2.373362e-02,1.000000e-01,1.000000e-01,3.049795e-03,1.889309e-01,1.912703e-01
sym_w=0.1,0,2750,3.048079e-04,7.029657e-05,2.299340e-03,4.577306e-05,2.408727e-02,1.000000e-01,1.000000e-01,3.614831e-02,2.947116e-01,6.405611e-02
sym_w=0.1,0,3000,2.332563e-04,3.844794e-05,1.816674e-03,1.314097e-04,2.034403e-02,1.000000e-01,1.000000e-01,2.604690e-03,1.534342e-01,1.546906e-01
sym_w=0.1,1,0,9.586171e-02,2.589028e-02,6.840348e-01,1.567944e-02,6.921966e-01,1.000000e-01,1.000000e-01,1.390463e+00,5.149986e+00,1.087909e+00
