d,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
1,2,2500,2.798679e-04,1.406538e-04,3.865265e-05,1.005614e-04,5.924750e-03,3.292712e-05,76.1445
1,2,2750,2.009727e-04,1.078952e-04,2.604195e-05,6.703554e-05,5.045457e-03,2.596075e-05,84.7010
1,2,3000,1.385713e-04,7.988974e-05,1.563241e-05,4.304918e-05,4.002034e-03,1.919102e-05,91.6760
1,2,3250,8.272125e-05,5.682389e-05,7.733263e-06,1.816410e-05,2.361023e-03,1.495926e-05,98.7178
1,2,3500,1.250185e-04,6.456198e-05,1.759296e-05,4.286356e-05,1.988290e-02,2.839675e-05,106.4548
1,2,3750,5.287849e-05,3.420228e-05,6.171698e-06,1.250451e-05,3.600147e-03,9.399246e-06,115.9337
1,2,4000,8.989635e-04,3.302270e-05,3.490824e-04,5.168585e-04,3.443368e-02,4.331257e-05,124.3474
1,2,4250,5.001050e-05,2.365834e-05,1.116636e-05,1.518579e-05,7.599873e-03,1.010748e-05,132.0921
1,2,4500,1.860364e-04,4.438235e-05,6.114031e-05,8.051370e-05,2.058418e-02,1.024263e-05,139.6398
1,2,4750,1.770293e-04,9.160696e-05,4.316549e-05,4.225684e-05,4.617702e-03,7.443865e-06,148.2222
1,2,5000,1.599080e-05,1.272203e-05,1.309893e-06,1.958876e-06,8.527889e-04,5.362343e-06,156.6573
2,0,0,2.798944e-01,1.907828e-03,2.595476e-01,1.843896e-02,7.851186e-01,1.434328e-03,0.0943
2,0,250,5.986287e-03,1.866444e-03,2.241909e-03,1.877935e-03,5.769435e-02,2.086783e-04,11.7182
2,0,500,1.522259e-03,4.414912e-04,4.610161e-04,6.197515e-04,2.704425e-02,1.094734e-04,24.2500
2,0,750,1.136902e-03,3.065183e-04,3.685024e-04,4.618812e-04,4.222082e-02,8.245407e-05,36.5915
2,0,1000,7.247961e-04,2.089538e-04,2.145902e-04,3.012522e-04,1.612417e-02,6.328365e-05,47.6312
2,0,1250,3.973080e-04,1.306042e-04,1.071464e-04,1.595574e-04,1.328335e-02,5.367103e-05,63.1824
2,0,1500,3.127169e-04,1.059366e-04,8.238186e-05,1.243985e-04,1.164623e-02,5.011658e-05,78.4202
2,0,1750,2.356913e-04,8.284135e-05,6.175807e-05,9.109190e-05,9.954054e-03,4.684157e-05,93.6973
2,0,2000,2.072838e-04,7.866518e-05,5.240919e-05,7.620940e-05,9.077790e-03,4.375720e-05,111.0052
2,0,2250,6.533527e-04,8.601636e-05,2.242984e-04,3.430379e-04,3.062582e-02,6.198408e-05,125.6099
2,0,2500,1.478425e-04,5.839004e-05,3.443948e-05,5.501293e-05,7.511617e-03,4.004707e-05,137.0050
2,0,2750,1.353583e-04,5.526526e-05,3.402741e-05,4.606566e-05,1.398127e-02,2.589630e-05,147.3004
2,0,3000,1.097354e-04,4.551373e-05,2.419118e-05,4.003046e-05,6.365325e-03,3.792365e-05,159.7828
2,0,3250,1.216088e-04,4.907308e-05,3.138515e-05,4.115062e-05,6.888111e-03,3.498928e-05,171.1880
2,0,3500,9.945338e-05,3.822972e-05,2.373404e-05,3.748962e-05,6.068411e-03,3.559551e-05,184.9157
2,0,3750,9.063337e-05,3.840261e-05,2.270147e-05,2.952930e-05,5.731047e-03,2.827735e-05,196.8702
2,0,4000,8.584805e-05,3.292621e-05,2.115076e-05,3.177108e-05,5.759261e-03,2.806325e-05,208.9788
2,0,4250,6.368916e-05,2.894876e-05,1.288922e-05,2.185118e-05,4.560225e-03,2.912024e-05,220.5667
2,0,4500,5.947748e-05,2.753699e-05,1.203451e-05,1.990597e-05,4.475110e-03,2.733344e-05,232.1004
2,0,4750,5.151155e-05,2.427414e-05,9.843062e-06,1.739435e-05,4.008953e-03,2.599706e-05,244.5146
2,0,5000,4.955463e-05,2.373429e-05,9.699658e-06,1.612069e-05,3.893384e-03,2.489191e-05,257.5167
2,1,0,3.476863e-01,2.752767e-02,2.950719e-01,2.508677e-02,8.069459e-01,1.766845e-03,0.0452
2,1,250,6.569250e-03,2.317436e-03,2.726774e-03,1.525041e-03,5.984357e-02,2.358539e-04,12.3040
2,1,500,1.800762e-03,4.682064e-04,6.508928e-04,6.816624e-04,5.034530e-02,1.032330e-04,24.0736
2,1,750,2.537485e-02,1.724481e-03,1.189559e-02,1.175478e-02,3.102438e-01,2.137946e-04,35.9080
2,1,1000,5.349678e-04,2.066901e-04,1.446674e-04,1.836103e-04,1.492488e-02,6.525808e-05,47.0247
2,1,1250,3.839672e-04,1.541519e-04,1.046132e-04,1.252021e-04,1.241652e-02,5.356099e-05,58.5211
2,1,1500,3.110022e-04,1.260503e-04,8.403793e-05,1.009140e-04,1.198646e-02,4.614030e-05,70.5707
2,1,1750,2.323679e-04,9.798179e-05,6.301642e-05,7.136966e-05,9.375219e-03,4.644442e-05,82.1160
2,1,2000,2.009515e-04,8.667410e-05,5.390406e-05,6.037331e-05,8.724156e-03,4.450864e-05,94.4384
2,1,2250,1.774184e-04,7.849932e-05,4.738140e-05,5.153769e-05,8.024936e-03,4.389343e-05,106.1863
2,1,2500,3.997724e-04,7.640725e-05,1.522436e-04,1.711215e-04,1.918423e-02,2.579896e-05,117.3947
2,1,2750,2.859921e-03,2.812032e-04,1.053622e-03,1.525095e-03,3.174532e-02,5.226588e-05,129.6594
2,1,3000,1.558504e-04,6.259551e-05,3.908648e-05,5.416837e-05,1.003700e-02,2.635585e-05,142.9637
2,1,3250,1.078585e-04,5.132065e-05,2.756777e-05,2.897010e-05,6.894900e-03,3.398112e-05,155.0204
2,1,3500,9.604638e-05,4.862952e-05,2.225430e-05,2.516256e-05,5.514739e-03,3.461373e-05,165.7170
2,1,3750,8.416967e-05,4.382978e-05,1.851488e-05,2.182501e-05,5.056539e-03,3.225508e-05,176.5256
2,1,4000,7.753079e-05,4.184414e-05,1.653767e-05,1.914898e-05,4.737266e-03,3.043837e-05,189.8843
2,1,4250,6.969148e-05,3.857908e-05,1.403774e-05,1.707465e-05,4.420341e-03,2.816956e-05,203.3792
2,1,4500,1.107927e-03,3.891342e-05,5.932890e-04,4.757248e-04,7.027153e-02,7.832908e-05,215.9127
2,1,4750,5.788319e-05,3.363848e-05,1.087507e-05,1.336964e-05,3.882522e-03,2.487243e-05,227.1123
2,1,5000,5.689159e-05,3.221977e-05,1.109226e-05,1.357955e-05,3.889239e-03,2.406382e-05,238.6466
2,2,0,3.942156e-01,3.351107e-02,3.526640e-01,8.040590e-03,7.783639e-01,1.626801e-03,0.0516
2,2,250,1.418376e-02,4.729483e-03,6.225166e-03,3.229111e-03,9.884901e-02,2.975895e-04,12.2316
2,2,500,2.118640e-03,7.746847e-04,7.319117e-04,6.120434e-04,3.127950e-02,1.084839e-04,25.5077
2,2,750,1.362631e-03,4.656579e-04,4.577801e-04,4.391926e-04,3.123156e-02,6.671215e-05,38.6765
2,2,1000,2.701282e-03,3.700988e-04,1.091956e-03,1.239227e-03,1.212355e-01,8.935724e-05,51.9165
2,2,1250,4.404982e-04,1.772263e-04,1.181182e-04,1.451537e-04,1.275149e-02,4.956085e-05,63.3011
2,2,1500,3.082202e-04,1.237821e-04,8.190154e-05,1.025366e-04,1.066007e-02,4.596290e-05,77.1820
2,2,1750,2.387884e-04,9.737383e-05,6.212810e-05,7.928645e-05,9.312490e-03,4.406826e-05,91.0166
2,2,2000,2.020966e-04,8.438026e-05,5.207683e-05,6.563948e-05,8.440878e-03,4.280318e-05,111.7587
2,2,2250,1.682486e-04,7.005502e-05,4.253969e-05,5.565391e-05,7.921102e-03,4.068574e-05,124.0342
2,2,2500,1.502472e-04,6.415130e-05,3.738044e-05,4.871551e-05,7.114613e-03,4.080219e-05,138.1999
2,2,2750,1.352989e-04,5.772830e-05,3.317756e-05,4.439308e-05,8.355170e-03,3.197210e-05,151.2019
2,2,3000,1.248156e-04,5.388799e-05,2.989443e-05,4.103314e-05,6.421538e-03,3.585451e-05,161.8940
2,2,3250,3.142043e-04,5.099272e-05,1.250218e-04,1.381898e-04,3.730533e-02,2.788934e-05,172.7090
2,2,3500,9.822148e-05,4.340332e-05,2.167563e-05,3.314254e-05,5.570916e-03,3.632669e-05,184.1232
2,2,3750,8.627689e-05,3.798707e-05,1.868629e-05,2.960354e-05,5.207309e-03,3.510681e-05,194.8887
2,2,4000,7.974482e-05,3.637735e-05,1.655556e-05,2.681191e-05,4.912857e-03,3.352836e-05,206.1422
2,2,4250,4.055406e-04,7.530281e-05,1.366128e-04,1.936250e-04,1.846782e-02,3.048167e-05,217.6201
2,2,4500,8.554398e-05,3.647579e-05,1.838381e-05,3.068438e-05,4.704811e-03,2.628559e-05,229.1251
2,2,4750,6.108714e-05,2.889569e-05,1.152296e-05,2.066849e-05,4.276098e-03,3.093178e-05,240.6695
2,2,5000,2.741525e-04,4.041844e-05,1.216510e-04,1.120830e-04,2.837776e-02,3.916974e-05,254.4812
4,0,0,1.823413e-01,5.924400e-02,7.223568e-02,5.086165e-02,1.958086e+00,3.439119e-03,0.0967
4,0,250,3.754321e-02,7.936286e-04,3.018090e-02,6.568684e-03,6.447555e-01,2.986479e-03,19.8783
