nx,nt,rel_l2,seconds,order
20,20,0.0017389438715919108,0.00025466701481491327,
40,40,0.00043720319906813274,0.0008724590297788382,1.99
80,80,0.00010975327412232341,0.00331687496509403,1.99
160,160,2.750412020194868e-05,0.013018583063967526,2.00
