d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
1,2,1000,2.153735e-03,1.950112e-03,1.396744e-04,6.394875e-05,2.763841e-02,7.092033e-05,1.748179e-02,26.8049
1,2,1250,1.424563e-03,1.292913e-03,9.563012e-05,3.602000e-05,2.393140e-02,6.106009e-05,1.513704e-02,33.6970
1,2,1500,2.974246e-03,1.856405e-03,4.088012e-04,7.090404e-04,2.451685e-02,4.500729e-05,1.550734e-02,39.2047
1,2,1750,2.501988e-03,1.823901e-03,5.329073e-04,1.451800e-04,4.061954e-02,7.884881e-05,2.569258e-02,44.9209
1,2,2000,8.567309e-03,3.315395e-03,2.577855e-03,2.674059e-03,6.496156e-02,1.236589e-04,4.108934e-02,55.4432
1,2,2250,5.856392e-04,4.769244e-04,8.070299e-05,2.801187e-05,1.724403e-02,3.541270e-05,1.090716e-02,62.2490
1,2,2500,6.224653e-04,4.952668e-04,8.877524e-05,3.842328e-05,1.806412e-02,3.495440e-05,1.142588e-02,68.3723
1,2,2750,3.146758e-03,8.412674e-04,1.032424e-03,1.273066e-03,6.825679e-02,5.791801e-05,4.317363e-02,79.8170
1,2,3000,2.499703e-03,2.062383e-03,1.815484e-04,2.557711e-04,2.825617e-02,6.034192e-05,1.787253e-02,85.4627
1,2,3250,1.199753e-02,3.104916e-03,3.647954e-03,5.244660e-03,1.307876e-01,1.394524e-04,8.272551e-02,92.3072
1,2,3500,3.685126e-04,2.921569e-04,5.539482e-05,2.096084e-05,1.310873e-02,2.477146e-05,8.291503e-03,99.3399
1,2,3750,3.944198e-04,3.036094e-04,6.099331e-05,2.981713e-05,1.266358e-02,1.888365e-05,8.009937e-03,104.8874
1,2,4000,3.333605e-04,2.622525e-04,4.887645e-05,2.223154e-05,1.043582e-02,1.974532e-05,6.600843e-03,111.9497
1,2,4250,8.657601e-03,3.549325e-03,2.623683e-03,2.484594e-03,1.179740e-01,2.156130e-04,7.462068e-02,117.8659
1,2,4500,2.499770e-04,1.897963e-04,3.951434e-05,2.066641e-05,1.216629e-02,1.875015e-05,7.695394e-03,123.4638
1,2,4750,2.749049e-04,2.076406e-04,4.131159e-05,2.595270e-05,1.331992e-02,2.047410e-05,8.425087e-03,130.5452
1,2,5000,2.093098e-04,1.654359e-04,3.096183e-05,1.291203e-05,8.710345e-03,1.687332e-05,5.509448e-03,136.6818
2,0,0,6.250412e+00,4.290407e+00,1.806789e-01,1.779325e+00,2.222114e+00,3.724702e-03,1.227535e+00,0.0437
2,0,250,6.797354e-01,2.916908e-01,1.322122e-01,2.558324e-01,1.284346e+00,2.127170e-03,7.094956e-01,11.9848
2,0,500,4.126359e-02,2.909002e-02,6.604647e-03,5.568924e-03,1.252017e-01,3.166784e-04,6.916362e-02,20.9840
2,0,750,1.595496e-02,1.218991e-02,2.397308e-03,1.367733e-03,8.638537e-02,1.545354e-04,4.772080e-02,30.5676
2,0,1000,9.183630e-03,7.209409e-03,1.138970e-03,8.352513e-04,6.528394e-02,1.186740e-04,3.606400e-02,40.7327
2,0,1250,5.945411e-03,4.655051e-03,6.757285e-04,6.146308e-04,5.304334e-02,1.085806e-04,2.930208e-02,51.3227
2,0,1500,4.133412e-03,3.213565e-03,4.842082e-04,4.356389e-04,4.287104e-02,9.186485e-05,2.368272e-02,60.4945
2,0,1750,3.190020e-03,2.433944e-03,4.051445e-04,3.509319e-04,3.665222e-02,8.659567e-05,2.024734e-02,68.8441
2,0,2000,2.582803e-03,1.900734e-03,3.753745e-04,3.066951e-04,3.278513e-02,8.692721e-05,1.811109e-02,78.7968
2,0,2250,1.979431e-03,1.419815e-03,3.126307e-04,2.469854e-04,2.865410e-02,8.248875e-05,1.582903e-02,91.0970
2,0,2500,3.720511e-03,2.702050e-03,4.230528e-04,5.954083e-04,3.024499e-02,9.569122e-05,1.670786e-02,100.5280
2,0,2750,1.295929e-03,8.536411e-04,2.550663e-04,1.872221e-04,2.481250e-02,7.431656e-05,1.370686e-02,109.9862
2,0,3000,1.294840e-03,8.204530e-04,2.974063e-04,1.769808e-04,2.404088e-02,5.674546e-05,1.328061e-02,119.9684
2,0,3250,1.054319e-03,6.883133e-04,2.264152e-04,1.395901e-04,2.392019e-02,6.925381e-05,1.321394e-02,130.1183
2,0,3500,8.693178e-04,5.309423e-04,1.822129e-04,1.561626e-04,2.140823e-02,5.742801e-05,1.182629e-02,139.9233
2,0,3750,1.325348e-03,7.265335e-04,3.681431e-04,2.306716e-04,2.900740e-02,6.433702e-05,1.602420e-02,149.1297
2,0,4000,8.432561e-04,4.070226e-04,2.620758e-04,1.741577e-04,1.871227e-02,5.767727e-05,1.033699e-02,157.7436
2,0,4250,5.104468e-04,3.251565e-04,1.100257e-04,7.526464e-05,1.609125e-02,4.629998e-05,8.889089e-03,166.5606
2,0,4500,5.020485e-04,3.240861e-04,1.038470e-04,7.411540e-05,1.995526e-02,3.910613e-05,1.102364e-02,175.1288
2,0,4750,9.414282e-04,6.654345e-04,1.282313e-04,1.477623e-04,2.193636e-02,4.498688e-05,1.211803e-02,184.6665
2,0,5000,3.763257e-04,2.431433e-04,8.319868e-05,4.998380e-05,1.518831e-02,3.160609e-05,8.390291e-03,195.5455
2,1,0,6.547750e+00,4.774209e+00,1.070371e-01,1.666504e+00,2.072658e+00,3.811523e-03,1.144973e+00,0.0441
2,1,250,6.620381e-01,3.075795e-01,1.072995e-01,2.471591e-01,1.291243e+00,2.189358e-03,7.133052e-01,11.4656
2,1,500,3.118857e-01,1.934622e-01,3.101430e-02,8.740922e-02,5.092270e-01,1.567042e-03,2.813060e-01,26.1521
2,1,750,7.380526e-03,6.703687e-03,3.387701e-04,3.380692e-04,4.690021e-02,1.167556e-04,2.590850e-02,36.0948
2,1,1000,3.960446e-03,3.585335e-03,1.842070e-04,1.909041e-04,3.375055e-02,7.088818e-05,1.864440e-02,46.0945
2,1,1250,2.335730e-03,2.061027e-03,1.587128e-04,1.159896e-04,2.758094e-02,5.386169e-05,1.523620e-02,56.8743
