step,loss,rel_l2
0,6.276552e-01,7.133166e-01
500,4.237284e-03,3.006658e-02
1000,2.276466e-03,2.046983e-02
1500,1.032471e-03,1.476317e-02
2000,4.028645e-04,6.993342e-03
2500,2.204273e-04,5.272427e-03
3000,1.442324e-04,4.202991e-03
3500,9.744403e-05,3.429444e-03
4000,1.868771e-04,2.414384e-02
4500,5.375058e-03,4.827880e-02
5000,6.186261e-05,3.618546e-03
