ic,seed,step,loss,loss_r,loss_ic,loss_vel,loss_bc,rel_l2,energy_ratio,train_seconds
sine,2,1250,1.423816e-02,2.959680e-03,9.609511e-04,2.058189e-04,1.011171e-02,3.463550e-01,0.707027,64.5965
sine,2,1500,2.354127e-02,1.775761e-02,5.795597e-04,4.883888e-04,4.715711e-03,2.292559e-01,0.795684,77.7557
sine,2,1750,4.165934e-03,8.844250e-04,2.063300e-04,3.991375e-04,2.676041e-03,1.636929e-01,0.864872,91.2208
sine,2,2000,2.920463e-03,1.425930e-03,1.739575e-04,8.000029e-06,1.312576e-03,1.143044e-01,0.893936,104.2433
sine,2,2250,1.673904e-03,6.466419e-04,7.561697e-05,2.290764e-05,9.287378e-04,9.280488e-02,0.919797,117.3613
sine,2,2500,1.146397e-03,6.950847e-04,3.030155e-05,3.293992e-06,4.177170e-04,5.057605e-02,0.957320,130.6315
sine,2,2750,5.035687e-04,2.249881e-04,1.143134e-05,4.353606e-06,2.627957e-04,3.974217e-02,0.960202,144.1769
sine,2,3000,1.127344e-03,8.398095e-04,2.235475e-05,5.878591e-06,2.593014e-04,4.101052e-02,0.956169,157.5538
sine,2,3250,1.473636e-02,1.420209e-02,7.913736e-05,7.533543e-05,3.797951e-04,5.858258e-02,0.933129,170.3611
sine,2,3500,1.228201e-03,8.473963e-04,5.498401e-05,8.579472e-05,2.400255e-04,5.023328e-02,0.945547,183.1295
sine,2,3750,2.391015e-03,2.259622e-03,6.672070e-06,4.277975e-05,8.194132e-05,1.774079e-02,0.985857,196.2266
sine,2,4000,1.957332e-03,1.402110e-03,1.564528e-04,7.602421e-06,3.911674e-04,5.056187e-02,0.962578,209.0331
sine,2,4250,1.257747e-03,1.079703e-03,2.038284e-05,6.502299e-05,9.263873e-05,3.581068e-02,0.962132,221.9065
sine,2,4500,1.337518e-03,1.180019e-03,2.785366e-05,1.506542e-05,1.145802e-04,3.730336e-02,0.967075,234.9489
sine,2,4750,4.621200e-04,4.145807e-04,6.031945e-07,6.297751e-06,4.063841e-05,1.474261e-02,0.990000,247.7810
sine,2,5000,3.242768e-04,1.892882e-04,1.420568e-05,6.804732e-05,5.273565e-05,2.151021e-02,0.973389,260.4681
pluck,0,0,4.207109e-01,2.543957e-03,2.478791e-01,9.314921e-02,7.713864e-02,1.304722e+00,0.020089,0.0531
pluck,0,250,1.179909e-01,1.638012e-03,7.698705e-02,3.064095e-03,3.630170e-02,1.113018e+00,0.047407,12.6978
pluck,0,500,1.727869e-02,4.951536e-04,3.365690e-03,2.358616e-05,1.339426e-02,5.550225e-01,0.493064,25.3145
pluck,0,750,1.640856e-02,1.211823e-03,2.750558e-03,2.410217e-04,1.220515e-02,5.364807e-01,0.514564,37.8908
pluck,0,1000,1.486571e-02,6.230971e-04,2.383827e-03,8.509407e-04,1.100784e-02,4.984258e-01,0.497585,50.5071
pluck,0,1250,1.193732e-02,1.632934e-03,1.564777e-03,1.560502e-04,8.583559e-03,4.347612e-01,0.540688,62.8129
pluck,0,1500,1.022582e-02,2.193379e-03,1.486826e-03,6.338094e-04,5.911802e-03,3.688290e-01,0.552907,75.6676
pluck,0,1750,6.295521e-03,1.620925e-03,1.177564e-03,6.567897e-05,3.431353e-03,2.664032e-01,0.655999,89.2946
pluck,0,2000,5.565485e-03,6.951644e-04,2.009859e-03,1.012480e-04,2.759213e-03,2.557494e-01,0.625254,101.9465
pluck,0,2250,3.230052e-03,2.502603e-04,9.434025e-04,3.923069e-05,1.997159e-03,1.848157e-01,0.707144,114.8129
pluck,0,2500,4.390087e-03,7.748613e-04,1.543142e-03,1.047038e-04,1.967381e-03,2.199438e-01,0.650892,127.1212
pluck,0,2750,1.456027e-02,4.022052e-03,1.104541e-03,5.546561e-03,3.887117e-03,1.985939e-01,0.694064,139.4490
pluck,0,3000,2.726767e-03,3.889360e-04,7.838047e-04,1.200308e-04,1.433995e-03,1.591058e-01,0.734595,151.7824
pluck,0,3250,2.387135e-03,2.815656e-04,7.348850e-04,4.472367e-05,1.325961e-03,1.571192e-01,0.742019,164.0739
