model,step,k,coeff
plain,3500,32,0.660666
plain,3600,1,0.966438
plain,3600,2,-0.061134
plain,3600,4,0.466377
plain,3600,8,0.726721
plain,3600,16,0.774500
plain,3600,32,0.697562
plain,3700,1,1.111232
plain,3700,2,0.012894
plain,3700,4,0.508399
plain,3700,8,0.753598
plain,3700,16,0.777673
plain,3700,32,0.716677
plain,3800,1,1.129753
plain,3800,2,0.017230
plain,3800,4,0.512103
plain,3800,8,0.756332
plain,3800,16,0.776524
plain,3800,32,0.726512
plain,3900,1,1.144343
plain,3900,2,0.020809
plain,3900,4,0.512624
plain,3900,8,0.755612
plain,3900,16,0.776034
plain,3900,32,0.734040
plain,4000,1,1.163777
plain,4000,2,0.013600
plain,4000,4,0.510391
plain,4000,8,0.752810
plain,4000,16,0.777605
plain,4000,32,0.740815
plain,4100,1,1.228845
plain,4100,2,-0.013303
plain,4100,4,0.495663
plain,4100,8,0.734450
plain,4100,16,0.790934
plain,4100,32,0.751517
plain,4200,1,1.355371
plain,4200,2,-0.063120
plain,4200,4,0.463494
plain,4200,8,0.704205
plain,4200,16,0.822430
plain,4200,32,0.781065
plain,4300,1,1.416996
plain,4300,2,-0.083516
plain,4300,4,0.451539
plain,4300,8,0.697899
plain,4300,16,0.837864
plain,4300,32,0.800514
plain,4400,1,1.430779
plain,4400,2,-0.076449
plain,4400,4,0.454025
plain,4400,8,0.700492
plain,4400,16,0.844766
plain,4400,32,0.809049
plain,4500,1,1.442549
plain,4500,2,-0.066269
plain,4500,4,0.458411
plain,4500,8,0.705587
plain,4500,16,0.851908
plain,4500,32,0.814875
plain,4600,1,1.440626
plain,4600,2,-0.052724
plain,4600,4,0.467765
plain,4600,8,0.714647
plain,4600,16,0.861002
plain,4600,32,0.820889
plain,4700,1,1.426379
plain,4700,2,-0.012869
plain,4700,4,0.484454
plain,4700,8,0.727057
plain,4700,16,0.869063
plain,4700,32,0.827782
plain,4800,1,1.293943
plain,4800,2,0.036142
plain,4800,4,0.518739
plain,4800,8,0.746902
plain,4800,16,0.876300
plain,4800,32,0.831127
plain,4900,1,1.301290
plain,4900,2,0.126872
plain,4900,4,0.559666
plain,4900,8,0.774102
plain,4900,16,0.883173
plain,4900,32,0.842452
plain,5000,1,1.254222
plain,5000,2,0.206981
plain,5000,4,0.601088
plain,5000,8,0.799185
plain,5000,16,0.890858
plain,5000,32,0.847192
plain,5100,1,1.294011
plain,5100,2,0.259699
plain,5100,4,0.627080
plain,5100,8,0.814817
plain,5100,16,0.898477
plain,5100,32,0.849862
plain,5200,1,1.361891
plain,5200,2,0.308908
plain,5200,4,0.649729
plain,5200,8,0.827235
plain,5200,16,0.905888
plain,5200,32,0.852745
plain,5300,1,1.426201
plain,5300,2,0.349662
plain,5300,4,0.676400
plain,5300,8,0.840581
plain,5300,16,0.913574
plain,5300,32,0.857825
plain,5400,1,1.522157
plain,5400,2,0.404908
plain,5400,4,0.701953
plain,5400,8,0.853953
plain,5400,16,0.921757
plain,5400,32,0.863086
plain,5500,1,1.618963
plain,5500,2,0.450805
plain,5500,4,0.726198
plain,5500,8,0.866728
plain,5500,16,0.929491
plain,5500,32,0.868609
plain,5600,1,1.697992
plain,5600,2,0.495768
plain,5600,4,0.747581
plain,5600,8,0.877136
plain,5600,16,0.934994
plain,5600,32,0.874105
plain,5700,1,1.741400
plain,5700,2,0.523552
plain,5700,4,0.764331
plain,5700,8,0.885834
plain,5700,16,0.939256
plain,5700,32,0.878942
plain,5800,1,1.805338
plain,5800,2,0.556720
plain,5800,4,0.778866
plain,5800,8,0.892675
plain,5800,16,0.942111
plain,5800,32,0.884915
plain,5900,1,1.854375
plain,5900,2,0.578901
plain,5900,4,0.790733
plain,5900,8,0.898618
plain,5900,16,0.944584
plain,5900,32,0.889357
plain,6000,1,1.944913
plain,6000,2,0.630288
plain,6000,4,0.805998
plain,6000,8,0.903520
plain,6000,16,0.943395
plain,6000,32,0.892853
plain,6100,1,1.896419
plain,6100,2,0.612036
plain,6100,4,0.806480
plain,6100,8,0.905879
plain,6100,16,0.947127
plain,6100,32,0.898095
plain,6200,1,1.905459
plain,6200,2,0.626965
plain,6200,4,0.811964
plain,6200,8,0.908080
plain,6200,16,0.947376
plain,6200,32,0.900857
plain,6300,1,1.914526
plain,6300,2,0.629981
plain,6300,4,0.815438
plain,6300,8,0.909978
plain,6300,16,0.948638
plain,6300,32,0.904385
plain,6400,1,1.906187
plain,6400,2,0.633948
plain,6400,4,0.817540
plain,6400,8,0.910896
plain,6400,16,0.948979
plain,6400,32,0.906552
plain,6500,1,1.882822
