model,step,k,coeff
fourier,7200,32,1.000821
fourier,7300,1,1.006617
fourier,7300,2,1.001504
fourier,7300,4,1.007162
fourier,7300,8,1.007139
fourier,7300,16,1.005880
fourier,7300,32,1.002229
fourier,7400,1,0.997053
fourier,7400,2,0.997920
fourier,7400,4,0.998983
fourier,7400,8,0.998581
fourier,7400,16,0.999310
fourier,7400,32,0.999392
fourier,7500,1,1.003704
fourier,7500,2,0.999386
fourier,7500,4,0.999341
fourier,7500,8,0.999721
fourier,7500,16,0.999935
fourier,7500,32,0.999941
fourier,7600,1,1.000799
fourier,7600,2,1.000109
fourier,7600,4,0.998388
fourier,7600,8,1.001399
fourier,7600,16,1.000264
fourier,7600,32,0.999847
fourier,7700,1,0.999402
fourier,7700,2,0.996657
fourier,7700,4,1.002157
fourier,7700,8,1.001034
fourier,7700,16,1.001537
fourier,7700,32,1.000438
fourier,7800,1,1.000734
fourier,7800,2,0.999248
fourier,7800,4,0.999612
fourier,7800,8,1.000689
fourier,7800,16,1.000401
fourier,7800,32,0.999999
fourier,7900,1,0.995836
fourier,7900,2,0.998104
fourier,7900,4,0.998889
fourier,7900,8,0.997428
fourier,7900,16,0.999296
fourier,7900,32,0.999271
fourier,8000,1,0.989689
fourier,8000,2,1.007974
fourier,8000,4,1.001062
fourier,8000,8,1.001399
fourier,8000,16,0.999748
fourier,8000,32,1.000738
fourier,8100,1,0.998070
fourier,8100,2,0.999226
fourier,8100,4,0.998239
fourier,8100,8,1.000894
fourier,8100,16,0.999565
fourier,8100,32,0.999815
fourier,8200,1,1.001640
fourier,8200,2,1.001323
fourier,8200,4,1.001509
fourier,8200,8,1.000875
fourier,8200,16,1.000600
fourier,8200,32,1.000422
fourier,8300,1,1.000324
fourier,8300,2,0.999639
fourier,8300,4,1.000377
fourier,8300,8,1.000631
fourier,8300,16,1.000384
fourier,8300,32,1.000167
fourier,8400,1,1.001982
fourier,8400,2,0.998875
fourier,8400,4,0.998693
fourier,8400,8,0.999817
fourier,8400,16,0.999833
fourier,8400,32,0.999903
fourier,8500,1,1.015760
fourier,8500,2,0.998373
fourier,8500,4,1.006457
fourier,8500,8,1.002200
fourier,8500,16,1.002909
fourier,8500,32,1.001334
fourier,8600,1,1.000729
fourier,8600,2,0.998134
fourier,8600,4,1.000280
fourier,8600,8,1.001418
fourier,8600,16,1.001258
fourier,8600,32,1.000049
fourier,8700,1,0.997761
fourier,8700,2,0.998441
fourier,8700,4,0.999257
fourier,8700,8,0.998868
fourier,8700,16,0.999362
fourier,8700,32,0.999662
fourier,8800,1,1.004300
fourier,8800,2,0.998715
fourier,8800,4,0.999766
fourier,8800,8,0.999845
fourier,8800,16,1.000026
fourier,8800,32,1.000129
fourier,8900,1,0.999789
fourier,8900,2,0.999533
fourier,8900,4,0.999261
fourier,8900,8,0.999761
fourier,8900,16,0.999502
fourier,8900,32,0.999856
fourier,9000,1,0.998367
fourier,9000,2,1.001645
fourier,9000,4,0.997648
fourier,9000,8,1.000717
fourier,9000,16,0.998892
fourier,9000,32,0.999899
fourier,9100,1,0.999902
fourier,9100,2,0.998399
fourier,9100,4,0.999754
fourier,9100,8,0.999709
fourier,9100,16,0.999779
fourier,9100,32,0.999784
fourier,9200,1,0.998628
fourier,9200,2,0.999155
fourier,9200,4,0.999585
fourier,9200,8,0.999404
fourier,9200,16,0.999629
fourier,9200,32,0.999825
fourier,9300,1,1.000283
fourier,9300,2,0.999219
fourier,9300,4,1.001210
fourier,9300,8,1.002547
fourier,9300,16,1.001998
fourier,9300,32,1.000319
fourier,9400,1,1.001843
fourier,9400,2,0.998132
fourier,9400,4,0.998080
fourier,9400,8,0.996901
fourier,9400,16,0.998464
fourier,9400,32,0.999134
fourier,9500,1,1.001278
fourier,9500,2,0.999272
fourier,9500,4,0.999027
fourier,9500,8,0.999594
fourier,9500,16,0.999548
fourier,9500,32,0.999846
fourier,9600,1,0.996108
fourier,9600,2,0.995802
fourier,9600,4,0.996661
fourier,9600,8,0.996986
fourier,9600,16,0.997527
fourier,9600,32,0.998710
fourier,9700,1,0.992406
fourier,9700,2,0.994908
fourier,9700,4,0.992153
fourier,9700,8,0.994572
fourier,9700,16,0.995046
fourier,9700,32,0.997566
fourier,9800,1,1.012868
fourier,9800,2,1.000013
fourier,9800,4,0.997185
fourier,9800,8,0.998276
fourier,9800,16,0.998792
fourier,9800,32,0.999990
fourier,9900,1,0.997014
fourier,9900,2,0.995928
fourier,9900,4,0.998614
fourier,9900,8,0.997285
fourier,9900,16,0.999888
fourier,9900,32,0.999012
fourier,10000,1,0.993559
fourier,10000,2,0.998413
fourier,10000,4,0.998827
fourier,10000,8,0.998438
fourier,10000,16,0.998186
fourier,10000,32,0.999132
