arm,rel_l2,shock_band_mae,off_shock_mae
uniform,0.20988907656665498,0.1830622056439123,0.018873905415130534
resample,0.45758385544950536,0.5540208267205398,0.025142334187636957
rar,0.1612140674568632,0.12431948716507187,0.010778579419969595
