evals,seconds,rel_l2
0,0.013,0.7918591479005818
100,1.293,0.09732664959410942
200,2.746,0.05134920732037443
300,4.225,0.04068295218609935
400,5.511,0.03649467075751464
500,6.8,0.030411190837389572
600,8.124,0.033454578999488366
700,9.431,0.026528826874161037
800,10.809,0.02512536384705168
900,12.219,0.04464581187126494
1000,13.673,0.028918006258053082
1022,14.091,0.0188724823116811
1044,14.378,0.011048873514099488
1065,14.66,0.00862233436751827
1086,14.969,0.008116872911038514
1107,15.249,0.0069397896050898775
1128,15.524,0.00651817812529213
1150,15.81,0.006197614217951587
1172,16.101,0.005843431333049869
1195,16.399,0.005511129302533635
1218,16.735,0.005314069951152544
1239,17.015,0.004916541993948101
1262,17.325,0.004806802285039275
1283,17.6,0.004631240671235923
1305,17.902,0.004553268447066857
1328,18.217,0.003890737030155826
1351,18.521,0.0037738485738264115
1372,18.83,0.003409551930034306
1396,19.155,0.00284216706747124
1417,19.459,0.0026833058195213292
1438,19.899,0.0027342216684914694
1459,20.21,0.0025752332372162194
1481,20.524,0.002588036614838422
1504,20.854,0.0025031265230421396
1525,21.153,0.002441998067010311
1546,21.472,0.0023538204261274384
1568,21.8,0.002253709818409918
1589,22.119,0.0023465685909109806
1611,22.446,0.002264486375025692
1632,22.77,0.0022787257600287683
1655,23.076,0.002275614547077098
